month,Revenue,COGS,GrossProfit,GrossMargin
2012-07-01,130406773.51,102516473.87,27890299.64,0.21387155658644744
2012-08-01,159089240.31,125585306.43,33503933.879999995,0.2105983648844793
2012-09-01,129307133.82,102596154.82000001,26710978.999999985,0.2065700337707786
2012-10-01,110185694.45,88054805.03,22130889.42,0.2008508412137162
2012-11-01,98186295.24,77820077.41,20366217.83,0.20742424164409282
2012-12-01,114322610.69,90889106.25,23433504.439999998,0.20497698835397368
2013-01-01,91308677.03,73023804.08,18284872.950000003,0.2002533991812454
2013-02-01,109783137.94,90286876.59,19496261.349999994,0.17758885121916743
2013-03-01,151834657.27,129897782.43,21936874.840000004,0.14447870620862766
2013-04-01,198926932.09,165581961.3,33344970.78999999,0.16762421477909192
2013-05-01,200500109.48,159759153.8,40740955.67999998,0.20319667548143616
2013-06-01,198517628.54,166302561.72,32215066.819999993,0.16227811634123399
2013-07-01,165745353.99,153044613.89,12700740.100000024,0.07662803085730116
2013-08-01,116271755.96,151947691.0,-35675935.04000001,-0.3068323407128495
2013-09-01,127534147.97,116161339.82,11372808.150000006,0.08917461190610097
2013-10-01,115089836.74,92685814.37,22404022.36999999,0.19466551525842396
2013-11-01,90371311.82,77118230.78,13253081.039999992,0.14665141816683205
2013-12-01,91285868.44,90170273.42,1115595.0199999958,0.012220895074611132
2014-01-01,91803714.88,74816926.31,16986788.569999993,0.18503378204470317
2014-02-01,108440957.11,86263947.18,22177009.929999992,0.2045076926746796
2014-03-01,183513882.05,157170624.53,26343257.52000001,0.14354912677844475
2014-04-01,232565641.3,196882524.31,35683116.99000001,0.153432453695816
2014-05-01,244309542.32,195193908.07999998,49115634.24000001,0.20103854222635184
2014-06-01,208133786.22,174108109.13,34025677.09,0.16347983529225976
2014-07-01,169157947.67000002,151250060.07,17907887.600000024,0.10586489045690857
2014-08-01,195265819.65,154959558.56,40306261.09,0.20641739123747355
2014-09-01,120621539.01,105172122.88,15449416.13000001,0.12808173612110182
2014-10-01,120982777.87,96281852.59,24700925.28,0.20416893804952935
2014-11-01,93293576.78,80687079.89,12606496.89,0.1351271687195355
2014-12-01,103756697.94,101820743.36,1935954.5799999982,0.018658598610371297
2015-01-01,89880637.05,71927743.21,17952893.840000004,0.19974150639378455
2015-02-01,120682457.24,99070410.55,21612046.689999998,0.17908192445087803
2015-03-01,170940315.07,144970479.45,25969835.620000005,0.15192341028133338
2015-04-01,259694424.86,217663174.1,42031250.76000002,0.16184887597282407
2015-05-01,240384686.20999998,191140066.41,49244619.79999998,0.20485755801008013
2015-06-01,215836391.57,178200470.1,37635921.47,0.1743724549703377
2015-07-01,170237048.48,154758898.26,15478150.219999999,0.09092116174593114
2015-08-01,119854986.63,158626609.11,-38771622.48000002,-0.32348777109867355
2015-09-01,155030676.77,140254191.45,14776485.320000023,0.09531329945699767
2015-10-01,139230979.44,112447694.42,26783285.019999996,0.19236584507072255
2015-11-01,102311827.16,90799049.03,11512778.129999995,0.1125263662039363
2015-12-01,105849396.44,105583031.33,266365.1099999994,0.0025164537442685054
2016-01-01,117204715.58,96161964.8,21042750.78,0.17953843133245714
2016-02-01,129695121.3,104786283.28,24908838.019999996,0.19205686204944392
2016-03-01,179145849.45,154174296.64,24971552.810000002,0.1393923045756615
2016-04-01,267113765.97,227251348.0,39862417.97,0.14923385855926652
2016-05-01,268131883.62,215249305.2,52882578.42000002,0.19722599828875964
2016-06-01,253939381.11,213285444.23,40653936.880000025,0.16009307694732777
2016-07-01,179166664.93,160494525.75,18672139.180000007,0.1042165917822669
2016-08-01,227008491.86,181909730.9,45098760.96000001,0.19866552387746436
2016-09-01,145153113.04,129056668.42999999,16096444.61,0.1108928652847031
2016-10-01,127350601.34,102078401.15,25272200.189999998,0.1984458645980666
2016-11-01,105114079.28,91404210.87,13709868.409999996,0.13042846880178655
2016-12-01,105617010.06,104707213.44,909796.6200000048,0.008614110733518759
2017-01-01,95271628.83,77187694.66,18083934.17,0.18981447459314948
2017-02-01,109983859.49,90533730.25,19450129.239999995,0.1768453055765737
2017-03-01,188382445.8,163033639.07,25348806.73000002,0.1345603441039941
2017-04-01,229526895.21,195191757.87,34335137.34,0.14959091094133395
2017-05-01,262908845.86,211068195.88,51840649.98000002,0.19718107928405484
2017-06-01,267433341.69,225266156.48000002,42167185.20999998,0.1576736279161437
2017-07-01,188994407.33,174410044.32999998,14584363.00000003,0.07716822527205534
2017-08-01,117297361.76,158809473.01,-41512111.249999985,-0.35390490141574676
2017-09-01,134943952.46,123811930.32,11132022.140000015,0.08249367190648844
2017-10-01,131722934.02,104660562.5,27062371.519999996,0.20544920078906695
2017-11-01,100958873.26,87586309.53,13372563.730000004,0.13245555638840736
2017-12-01,83739779.57,82826299.64,913479.9299999923,0.010908554270033557
2018-01-01,90963509.73,74522343.98,16441165.75,0.18074462824489787
2018-02-01,110312808.03,87804082.71,22508725.320000008,0.20404453228929384
2018-03-01,170095004.53,144104083.55,25990920.97999999,0.15280237683532863
2018-04-01,220223567.74,183092494.21,37131073.53,0.16860626640032292
2018-05-01,262778502.98,208593774.52,54184728.45999998,0.20619924326201053
2018-06-01,271674172.09,226346203.95,45327968.139999986,0.16684680693527162
2018-07-01,182070823.33,163006741.63,19064081.700000018,0.1047069560697637
2018-08-01,194275746.41,153836902.53,40438843.879999995,0.2081517874838466
2018-09-01,117969209.21,103264780.16,14704429.049999997,0.12464633058465509
2018-10-01,100585563.48,79897402.02,20688161.46000001,0.20567724377379018
2018-11-01,67903654.78,57819996.55,10083658.230000004,0.1484994918560701
2018-12-01,61269893.77,59886960.33,1382933.440000005,0.022571174110263274
2019-01-01,72960206.57000001,58533990.76,14426215.81000001,0.19772717880340848
2019-02-01,85058055.9,69042451.14,16015604.760000005,0.18829027527773537
2019-03-01,121209012.39,103799194.99,17409817.400000006,0.14363467746096703
2019-04-01,135731290.37,114426306.78999999,21304983.580000013,0.15696442229292284
2019-05-01,144443148.06,114793175.75,29649972.310000002,0.20527088136907504
2019-06-01,137730850.41,115273564.53,22457285.879999995,0.16305196557741922
2019-07-01,99384869.02,91813891.92,7570977.099999994,0.07617836774002718
2019-08-01,81495589.86,109395938.88,-27900349.019999996,-0.3423540963128136
2019-09-01,83290725.69,75064005.15,8226720.539999992,0.09877114734981476
2019-10-01,72057861.02,57788283.74,14269577.279999994,0.19802943187613362
2019-11-01,55008276.03,47500194.22,7508081.810000002,0.13649004026058373
2019-12-01,48431556.19,47771885.85,659670.3399999961,0.01362067197287794
2020-01-01,47728257.0,37989912.85,9738344.149999999,0.20403728864433493
2020-02-01,62448688.36,49819391.53,12629296.829999998,0.2022347812526578
2020-03-01,111804374.21,95389653.41,16414720.799999997,0.14681644538494124
2020-04-01,139960650.75,117791201.35,22169449.400000006,0.15839773022775835
2020-05-01,132823767.78,105569272.64,27254495.14,0.20519290783214672
2020-06-01,110605041.1,92517510.8,18087530.299999997,0.16353260321694324
2020-07-01,90701640.38,81313640.75,9387999.629999995,0.10350418791400469
2020-08-01,122065017.36,98041338.07,24023679.290000007,0.19681051794838336
2020-09-01,78825813.7,70037561.61,8788252.090000004,0.11148951945420899
2020-10-01,68136462.93,54398526.45,13737936.480000004,0.2016238573187116
2020-11-01,45740881.45,39980745.47,5760135.980000004,0.12592971095881678
2020-12-01,43671563.77,43236342.7,435221.0700000003,0.009965777096788404
2021-01-01,46473094.42,37106440.96,9366653.46,0.20155002753526566
2021-02-01,66077638.57,53557638.269999996,12520000.300000004,0.18947408792063322
2021-03-01,113274006.63,97227912.01,16046094.61999999,0.14165734132114888
2021-04-01,134836887.53,115518640.69,19318246.840000004,0.14327123084698812
2021-05-01,143070694.87,116339524.67,26731170.200000003,0.18683889264876402
2021-06-01,128449576.26,108266426.76,20183149.5,0.15712896910727417
2021-07-01,101001502.3,94460607.95,6540894.349999994,0.06476036693565096
2021-08-01,68280026.82000001,95650916.2,-27370889.379999995,-0.400862311494915
2021-09-01,74841850.26,70894301.08,3947549.180000007,0.05274521095197743
2021-10-01,65692136.16,54994101.45,10698034.709999993,0.16285107069655677
2021-11-01,50638497.46,45665704.7,4972792.759999998,0.0982018229100907
2021-12-01,50403908.35,51447905.42,-1043997.0700000003,-0.020712621385440645
2022-01-01,59663486.32,50851459.6,8812026.719999999,0.1476954711083668
2022-02-01,79103095.5,65285573.129999995,13817522.370000005,0.17467739135442562
2022-03-01,137537949.28,121666971.0,15870978.280000001,0.11539344859424823
2022-04-01,141305508.81,124361629.97,16943878.840000004,0.11990954197534377
2022-05-01,139027887.16,113951506.27,25076380.89,0.1803694309267672
2022-06-01,135812426.69,117710885.92999999,18101540.760000005,0.1332833909323913
2022-07-01,98141777.72,91605928.72,6535849.0,0.06659599155261765
2022-08-01,113542943.47,94033378.34,19509565.129999995,0.17182543039457804
2022-09-01,85764286.59,78395242.27,7369044.320000008,0.08592206165286552
2022-10-01,75194452.31,61969893.8,13224558.510000005,0.17587146529746436
2022-11-01,52200081.64,47098021.5,5102060.140000001,0.09774046284422631
2022-12-01,52454936.2,53489673.44,-1034737.2399999946,-0.019726212916449885
